Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
rancher/klipper-helm:v0.8.3-build20240228,132,5,50,49,3,17,8,72854955,2,verified,,91155319
jetbrains/youtrack:2024.1.27971,287,75,79,52,13,13,55,60450631,248,verified,content-management-system/integration-and-delivery,1034017584
rancher/mirrored-coredns-coredns:1.11.1-s390x,38,4,17,9,0,1,7,122891696,0,verified,,17547195
newrelic/nri-kubernetes:main,3,0,2,0,0,0,1,1697413705,2,verified,,60716836
nginxinc/nginx-unprivileged:1-bookworm-perl,103,56,0,1,1,0,45,1108217140,152,verified,integration-and-delivery/security/web-servers,82589766
newrelic/newrelic-fluentbit-output:1.19.2-debug,1463,366,823,108,6,28,132,1025229102,3,verified,,42947382
amazon/aws-efs-csi-driver:4aba795,33,7,6,8,1,5,6,922676599,4,verified,,79971165
bitnami/postgres-exporter:0,56,33,5,1,1,0,16,67137140,13,verified,databases-and-storage/integration-and-delivery/monitoring-and-observability,50243991
bitnami/fluentd:1,841,100,659,52,1,9,20,58577451,11,verified,integration-and-delivery/monitoring-and-observability/security,102648527
mirantis/ucp-auth:3.6.14,23,7,6,0,0,3,7,126805793,0,verified,,13709912
bitnami/wordpress:6.5.4-debian-12-r0,153,86,9,7,1,1,49,97796861,254,verified,content-management-system,213374080
cimg/python:3.12-node,792,120,522,68,5,68,9,169285058,15,verified,languages-and-frameworks/integration-and-delivery/security,866143174
bitnami/sealed-secrets-controller:0.26.3,0,0,0,0,0,0,0,2911312668,8,verified,integration-and-delivery/security,12445970
circleci/docker-gc:2.0.1724-6851bd8,2,2,0,0,0,0,0,64984966,6,verified,,3933570
onlyoffice/documentserver:8.0,535,116,380,24,0,15,0,90984485,362,verified,api-management/content-management-system/integration-and-delivery,1199069034
rancher/hyperkube:v1.29.5-rancher1,113,37,53,15,0,8,0,64136660,22,verified,,441580465
onlyoffice/documentserver:8.0.0.1,583,123,415,27,1,15,2,90984485,362,verified,api-management/content-management-system/integration-and-delivery,1198021043
bitnami/sealed-secrets-controller:0.26.3-debian-12-r1,0,0,0,0,0,0,0,2911312668,8,verified,integration-and-delivery/security,12445970
cimg/go:1.22-node,689,97,454,57,5,68,8,59190280,11,verified,languages-and-frameworks/integration-and-delivery/security,580122705
atlassian/pipelines-dvcstools:prod-beta,327,4,34,55,21,213,0,105652966,1,verified,,28470227
cimg/python:3.12.3,789,120,520,67,5,68,9,169285058,15,verified,languages-and-frameworks/integration-and-delivery/security,816862882
google/cloud-sdk:479.0.0-debian_component_based,984,223,505,130,14,19,93,354031402,428,verified,data-science/databases-and-storage/integration-and-delivery,1235015861
bitnami/nginx:1.27.0,59,39,0,1,1,0,18,403860923,188,verified,api-management/security/web-servers,67059154
hashicorp/consul-template:0.37.5,11,4,4,1,0,1,1,148487372,30,verified,integration-and-delivery/networking/security,7875292
hashicorp/vault-k8s:1.4.1,11,4,4,0,0,1,2,56983377,18,verified,integration-and-delivery/security,29882056
circleci/mysql:5-oracle-ram,610,14,47,116,9,409,15,277364343,30,verified,,120942936
netdata/netdata:v1.45,135,73,3,1,1,4,53,467165995,535,verified,monitoring-and-observability/security,190844340
cimg/openjdk:17.0-node,796,110,530,71,5,70,10,63153083,8,verified,languages-and-frameworks/integration-and-delivery/security,1039908129
nginxinc/nginx-unprivileged:mainline-perl,103,56,0,1,1,0,45,1108217140,152,verified,integration-and-delivery/security/web-servers,82589766
bitnami/kubectl:1.29.6-debian-12-r0,80,47,0,1,2,0,30,3794918928,114,verified,developer-tools,7967
bitnami/ghost:5.84.0,178,55,38,35,7,9,34,125177863,39,verified,content-management-system/security/web-servers,293316774
docker/ucp-agent:3.2.6,218,7,56,77,11,67,0,872058648,12,verified,,19113440
rancher/nginx-ingress-controller:nginx-1.9.6-hardened2-arm64,62,13,12,23,0,13,1,83682458,13,verified,,332254491
bitnami/wordpress:6.5.4,151,86,9,5,1,1,49,97796861,254,verified,content-management-system,213374080
docker/ucp-auth:3.3.1,218,7,56,77,12,66,0,743184468,4,verified,integration-and-delivery/networking/security,11368296
grafana/promtail:main-5a357ea-arm,61,36,16,2,1,1,5,1952268710,161,verified,,57666230
